confidence	source	crash_name	gc_fn	gc_addr	crash_size	crash_addr	gc_size	notes
LOW	crashwoc_retail	pftaOn	fn_8001610C	0x8001610c	0x0048	0x800ba9e0	0x0048	norm-body-match; module=gamecode
LOW	crashwoc_retail	pftaOff	fn_80016154	0x80016154	0x0048	0x800baa28	0x0048	norm-body-match; module=gamecode
LOW	gcnemo	decv_decode	fn_80049DC0	0x80049dc0	0x0164	0x801220ac	0x0164	norm-body-match; module=gamecode
LOW	gcnemo	callback	fn_8004BD4C	0x8004bd4c	0x0084	0x80123460	0x0084	norm-body-match; module=gamecode
LOW	gcnemo	fstat_update	fn_8004BDD0	0x8004bdd0	0x005c	0x801234e4	0x005c	norm-body-match; module=gamecode
LOW	crashwoc_retail	malloc_x	fn_8009D550	0x8009d550	0x002c	0x800be71c	0x002c	norm-body-match; module=gamecode
LOW	gcnemo	MoveScreen	fn_8009FAD8	0x8009fad8	0x00a0	0x800412b0	0x00a0	norm-body-match; module=gamecode
LOW	gcnemo	ResetSeeds	fn_800B9EF0	0x800b9ef0	0x0048	0x8002d738	0x0048	norm-body-match; module=gamecode
LOW	gcnemo	RotateGameMatrix	fn_800D0374	0x800d0374	0x0148	0x80036f28	0x0148	norm-body-match; module=gamecode
LOW	gcnemo	CC_maxy	fn_8011B020	0x8011b020	0x000c	0x8001c024	0x000c	norm-body-match; module=gamecode
LOW	gcnemo	CC_scale	fn_8011B02C	0x8011b02c	0x000c	0x8001c030	0x000c	norm-body-match; module=gamecode
LOW	gcnemo	CSC_fpsec	fn_8011BE44	0x8011be44	0x000c	0x8001d5a0	0x000c	norm-body-match; module=gamecode
LOW	crashwoc_retail	DrawWeatherResearchLevelExtra	fn_8014FD9C	0x8014fd9c	0x002c	0x80072438	0x002c	norm-body-match; module=gamecode
LOW	crashwoc_retail	OnReset	fn_80160BB8	0x80160bb8	0x003c	0x800dff04	0x003c	norm-body-match; module=gamecode; lsw2_gc_exact=0x801e7044; narnia_gc_exact=0x801ff8b8
LOW	crashwoc_retail	UnsetRun	fn_801625B0	0x801625b0	0x0068	0x800e1380	0x0068	norm-body-match; module=gamecode
LOW	gcnemo	ProbeBarnacle	fn_80165360	0x80165360	0x018c	0x8007ba64	0x018c	norm-body-match; module=gamecode
LOW	gcnemo	ScreenReport	fn_8018BE6C	0x8018be6c	0x03dc	0x80132de8	0x03dc	norm-body-match; module=gamecode
